,城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型
18,沈阳,https://sy.lianjia.com/ershoufang/102106234439.html,2室2厅1厨2卫,中楼层 (共34层),87.55㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,2022-11-29,商品房,2019-09-19,普通住宅,暂无数据,非共有,"
                                有抵押 53万元 工商银行沈中支行 客户偿还
                              ",已上传房本照片,
19,沈阳,https://sy.lianjia.com/ershoufang/102106224438.html,2室2厅1厨1卫,中楼层 (共7层),96.49㎡,错层,暂无数据,板楼,北 南,混合结构,其他,一梯两户,集中供暖,无,2022-11-22,商品房,2018-07-24,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
20,沈阳,https://sy.lianjia.com/ershoufang/102106244464.html,2室2厅1厨1卫,低楼层 (共17层),89.18㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,2022-12-05,商品房,2019-07-31,普通住宅,暂无数据,共有,"
                                有抵押 28万元
                              ",已上传房本照片,
21,沈阳,https://sy.lianjia.com/ershoufang/102106221367.html,3室2厅1厨1卫,中楼层 (共29层),98.1㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,2022-11-21,商品房,2020-09-08,普通住宅,暂无数据,非共有,"
                                有抵押 40万元
                              ",已上传房本照片,
22,沈阳,https://sy.lianjia.com/ershoufang/102106233079.html,3室2厅1厨2卫,中楼层 (共27层),128.94㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2022-11-28,商品房,2020-12-05,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
23,沈阳,https://sy.lianjia.com/ershoufang/102106225895.html,3室2厅1厨1卫,中楼层 (共7层),110.58㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,2022-11-23,商品房,2019-04-01,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片,
24,沈阳,https://sy.lianjia.com/ershoufang/102106224242.html,3室1厅1厨2卫,中楼层 (共11层),125.67㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,2022-11-22,商品房,2020-10-22,普通住宅,暂无数据,非共有,"
                                有抵押 30万元 客户偿还
                              ",已上传房本照片,
25,沈阳,https://sy.lianjia.com/ershoufang/102106250194.html,3室2厅1厨1卫,高楼层 (共24层),132.73㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,两梯三户,集中供暖,有,2022-12-08,商品房,2009-11-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
26,沈阳,https://sy.lianjia.com/ershoufang/102106245145.html,3室1厅1厨2卫,中楼层 (共5层),148.85㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯两户,集中供暖,有,2022-12-06,商品房,2018-12-06,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片,
27,沈阳,https://sy.lianjia.com/ershoufang/102106252398.html,3室2厅1厨2卫,低楼层 (共17层),129.32㎡,跃层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,2022-12-09,商品房,2022-06-15,普通住宅,未满两年,非共有,"
                                有抵押 100万元 盛京银行 客户偿还
                              ",已上传房本照片,
