,城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型
849,沈阳,https://sy.lianjia.com/ershoufang/102104225172.html,2室2厅1厨1卫,高楼层 (共33层),96.27㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,集中供暖,有,2021-04-22,商品房,2015-02-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
850,沈阳,https://sy.lianjia.com/ershoufang/102105909589.html,2室1厅1厨1卫,高楼层 (共25层),71.23㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,集中供暖,有,2022-08-16,商品房,2018-10-31,普通住宅,暂无数据,共有,"
                                有抵押 20万元 公积金 客户偿还
                              ",已上传房本照片,
851,沈阳,https://sy.lianjia.com/ershoufang/102105801116.html,2室2厅0厨1卫,低楼层 (共34层),90.35㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-07-18,商品房,2020-07-23,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
852,沈阳,https://sy.lianjia.com/ershoufang/102103517659.html,2室2厅1厨1卫,高楼层 (共25层),99.85㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2020-10-15,商品房,2019-08-01,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
853,沈阳,https://sy.lianjia.com/ershoufang/102105335357.html,2室2厅1厨1卫,中楼层 (共6层),101.74㎡,平层,90㎡,板楼,南 北,混合结构,精装,三梯两户,集中供暖,有,2022-02-23,商品房,2017-04-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
854,沈阳,https://sy.lianjia.com/ershoufang/102105694098.html,2室1厅1厨1卫,低楼层 (共6层),89.47㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,2022-06-20,商品房,2017-08-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
855,沈阳,https://sy.lianjia.com/ershoufang/102104229775.html,2室1厅1厨1卫,高楼层 (共33层),87.76㎡,平层,暂无数据,板楼,北 南,钢混结构,毛坯,一梯两户,集中供暖,有,2021-04-23,商品房,2019-12-21,普通住宅,暂无数据,非共有,"
                                有抵押 35万元 工商银行 客户偿还
                              ",已上传房本照片,
856,沈阳,https://sy.lianjia.com/ershoufang/102105940876.html,1室1厅1厨1卫,高楼层 (共26层),62.72㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯八户,集中供暖,有,2022-08-24,商品房,2009-03-31,普通住宅,满五年,非共有,"
                                有抵押 8万元 兴业银行 客户偿还
                              ",已上传房本照片,
857,沈阳,https://sy.lianjia.com/ershoufang/102106041333.html,2室1厅1厨1卫,低楼层 (共29层),91.48㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯两户,集中供暖,有,2022-09-24,商品房,2019-09-08,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片,
858,沈阳,https://sy.lianjia.com/ershoufang/102105674698.html,2室1厅1厨1卫,中楼层 (共33层),79.25㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,2022-06-15,商品房,2018-10-28,普通住宅,暂无数据,非共有,"
                                有抵押 30万元 农业 客户偿还
                              ",已上传房本照片,
859,沈阳,https://sy.lianjia.com/ershoufang/102104104419.html,3室2厅1厨2卫,中楼层 (共34层),124.2㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2021-03-29,商品房,2020-11-03,普通住宅,暂无数据,非共有,"
                                有抵押 130万元 不确定 客户偿还
                              ",已上传房本照片,
860,沈阳,https://sy.lianjia.com/ershoufang/102104336813.html,2室2厅1厨1卫,中楼层 (共29层),88.57㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2021-05-16,商品房,2016-06-02,普通住宅,满五年,非共有,"
                                有抵押 25万元 招商银行 客户偿还
                              ",已上传房本照片,
861,沈阳,https://sy.lianjia.com/ershoufang/102105235531.html,2室2厅1厨1卫,中楼层 (共5层),80.74㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,无,2022-01-12,商品房,2019-05-08,普通住宅,暂无数据,共有,"
                                有抵押 12万元 业主自还
                              ",已上传房本照片,
862,沈阳,https://sy.lianjia.com/ershoufang/102105619656.html,2室1厅1厨1卫,中楼层 (共17层),87.97㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,2022-06-01,商品房,2014-03-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
863,沈阳,https://sy.lianjia.com/ershoufang/102105692125.html,2室1厅1厨1卫,中楼层 (共6层),90.99㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2022-06-19,商品房,2007-08-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
864,沈阳,https://sy.lianjia.com/ershoufang/102105702457.html,2室2厅1厨1卫,中楼层 (共11层),75㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,2022-06-22,商品房,2010-11-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
865,沈阳,https://sy.lianjia.com/ershoufang/102105882381.html,3室2厅1厨1卫,中楼层 (共33层),95.98㎡,平层,暂无数据,板楼,西南,钢混结构,精装,一梯五户,集中供暖,有,2022-08-09,商品房,2018-03-14,普通住宅,暂无数据,非共有,"
                                有抵押 27万元 工商银行 业主自还
                              ",已上传房本照片,
866,沈阳,https://sy.lianjia.com/ershoufang/102105923324.html,3室2厅2厨2卫,高楼层 (共30层),138.71㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-08-19,商品房,2018-08-28,普通住宅,暂无数据,共有,"
                                有抵押 60万元 兴业银行
                              ",已上传房本照片,
867,沈阳,https://sy.lianjia.com/ershoufang/102105690082.html,1室1厅1厨1卫,中楼层 (共32层),58.91㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,三梯十户,集中供暖,有,2022-06-19,商品房,2017-06-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
868,沈阳,https://sy.lianjia.com/ershoufang/102105598743.html,2室2厅1厨1卫,中楼层 (共33层),87.3㎡,平层,暂无数据,板楼,南 西南,钢混结构,精装,两梯四户,集中供暖,有,2022-05-26,商品房,2019-01-07,普通住宅,暂无数据,共有,"
                                有抵押 59万元 18万 客户偿还
                              ",已上传房本照片,
869,沈阳,https://sy.lianjia.com/ershoufang/102106183323.html,2室1厅1厨1卫,中楼层 (共34层),76.09㎡,平层,54.68㎡,板楼,南 北,钢混结构,毛坯,两梯三户,集中供暖,有,2022-11-07,商品房,2020-08-31,普通住宅,暂无数据,非共有,"
                                有抵押 20万元
                              ",已上传房本照片,
870,沈阳,https://sy.lianjia.com/ershoufang/102105672674.html,2室1厅1厨1卫,中楼层 (共25层),57.38㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯六户,集中供暖,有,2022-06-14,商品房,2011-04-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
871,沈阳,https://sy.lianjia.com/ershoufang/102106169908.html,2室1厅1厨1卫,高楼层 (共18层),88.22㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-11-03,商品房,2020-12-15,普通住宅,暂无数据,共有,"
                                有抵押 70万元 兴业银行
                              ",已上传房本照片,
872,沈阳,https://sy.lianjia.com/ershoufang/102105862484.html,2室2厅1厨1卫,中楼层 (共30层),106.49㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2022-08-03,商品房,2014-08-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
873,沈阳,https://sy.lianjia.com/ershoufang/102106082610.html,2室2厅1厨1卫,高楼层 (共22层),89.17㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-10-07,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 51万元 金融公司垫资
                              ",未上传房本照片,
874,沈阳,https://sy.lianjia.com/ershoufang/102106094844.html,2室1厅1厨1卫,中楼层 (共25层),58.98㎡,平层,暂无数据,板楼,东南,钢混结构,精装,两梯六户,集中供暖,有,2022-10-11,商品房,2014-07-24,普通住宅,满五年,非共有,"
                                有抵押 15万元
                              ",已上传房本照片,
875,沈阳,https://sy.lianjia.com/ershoufang/102103268527.html,2室1厅1厨1卫,高楼层 (共9层),53.85㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯一户,集中供暖,暂无数据,2020-08-22,商品房,2004-08-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
876,沈阳,https://sy.lianjia.com/ershoufang/102106071206.html,1室1厅1厨1卫,中楼层 (共24层),53.02㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,集中供暖,有,2022-10-04,商品房,2020-05-28,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
877,沈阳,https://sy.lianjia.com/ershoufang/102105362586.html,3室1厅1厨1卫,中楼层 (共33层),96.61㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-03-01,商品房,2020-03-12,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片,
878,沈阳,https://sy.lianjia.com/ershoufang/102105958963.html,1室1厅1厨1卫,高楼层 (共30层),59.43㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,一梯三户,集中供暖,有,2022-08-29,商品房,2018-06-14,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片,
879,沈阳,https://sy.lianjia.com/ershoufang/102105401489.html,2室1厅1厨1卫,中楼层 (共6层),59.13㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯三户,集中供暖,无,2022-03-09,商品房,2016-05-19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
880,沈阳,https://sy.lianjia.com/ershoufang/102105612963.html,2室1厅1厨1卫,高楼层 (共27层),89㎡,平层,66.12㎡,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,2022-05-30,商品房,2019-07-11,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
881,沈阳,https://sy.lianjia.com/ershoufang/102105408525.html,2室1厅1厨1卫,低楼层 (共28层),90.42㎡,平层,暂无数据,板塔结合,东 南,钢混结构,精装,两梯四户,集中供暖,有,2022-03-11,商品房,2015-10-27,普通住宅,满五年,非共有,"
                                有抵押 30万元 都行 业主自还
                              ",已上传房本照片,
882,沈阳,https://sy.lianjia.com/ershoufang/102106012103.html,2室1厅1厨1卫,中楼层 (共7层),42.28㎡,平层,暂无数据,暂无数据,南 北,混合结构,简装,一梯三户,暂无数据,有,2022-09-16,商品房,2018-04-04,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
883,沈阳,https://sy.lianjia.com/ershoufang/102105969050.html,2室1厅1厨1卫,低楼层 (共26层),78.94㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,2022-09-01,商品房,2020-11-10,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片,
884,沈阳,https://sy.lianjia.com/ershoufang/102105415658.html,2室1厅1厨1卫,高楼层 (共47层),102.57㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2022-03-13,商品房,2017-02-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
885,沈阳,https://sy.lianjia.com/ershoufang/102106097565.html,2室2厅1厨1卫,高楼层 (共31层),78.94㎡,平层,58.93㎡,板楼,南,钢混结构,精装,一梯三户,集中供暖,有,2022-10-11,商品房,2017-12-12,普通住宅,满五年,共有,"
                                有抵押 客户偿还
                              ",已上传房本照片,
886,沈阳,https://sy.lianjia.com/ershoufang/102105688795.html,2室1厅1厨1卫,高楼层 (共33层),89.78㎡,平层,70.9㎡,板楼,南 北,钢混结构,毛坯,一梯六户,集中供暖,有,2022-06-19,商品房,2019-05-30,普通住宅,暂无数据,非共有,"
                                有抵押 35万元 光大银行 客户偿还
                              ",已上传房本照片,
887,沈阳,https://sy.lianjia.com/ershoufang/102105723009.html,2室1厅1厨1卫,中楼层 (共11层),83.96㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,2022-06-28,商品房,2019-03-27,普通住宅,暂无数据,共有,"
                                有抵押 32万元 客户偿还
                              ",已上传房本照片,
888,沈阳,https://sy.lianjia.com/ershoufang/102105489260.html,2室2厅1厨1卫,低楼层 (共34层),83.27㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-04-23,商品房,2017-07-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
889,沈阳,https://sy.lianjia.com/ershoufang/102105544026.html,1室2厅1厨1卫,高楼层 (共31层),56.42㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯九户,集中供暖,有,2022-05-12,商品房,2018-05-20,普通住宅,暂无数据,非共有,"
                                有抵押 23万元 工商 客户偿还
                              ",已上传房本照片,
890,沈阳,https://sy.lianjia.com/ershoufang/102105500740.html,2室2厅1厨1卫,低楼层 (共9层),97㎡,错层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,2022-04-28,商品房,2008-06-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
891,沈阳,https://sy.lianjia.com/ershoufang/102105879384.html,2室1厅1厨1卫,高楼层 (共18层),75.78㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,一梯三户,集中供暖,有,2022-08-08,商品房,2019-05-07,普通住宅,暂无数据,非共有,"
                                有抵押 38万元 兴业银行 客户偿还
                              ",已上传房本照片,
892,沈阳,https://sy.lianjia.com/ershoufang/102105703314.html,2室2厅1厨1卫,中楼层 (共33层),86.99㎡,平层,66.58㎡,板楼,东南,钢混结构,精装,两梯四户,集中供暖,有,2022-06-22,商品房,2015-04-01,普通住宅,满五年,非共有,"
                                有抵押 15万元 中国工商银行 客户偿还
                              ",已上传房本照片,
893,沈阳,https://sy.lianjia.com/ershoufang/102104873988.html,2室1厅1厨1卫,中楼层 (共34层),84.99㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2021-09-13,商品房,2019-09-04,普通住宅,暂无数据,非共有,"
                                有抵押 75万元 建设银行 业主自还
                              ",已上传房本照片,
894,沈阳,https://sy.lianjia.com/ershoufang/102105513128.html,2室1厅1厨1卫,低楼层 (共29层),81.47㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯三户,集中供暖,有,2022-05-03,商品房,2019-02-15,普通住宅,暂无数据,共有,"
                                有抵押 30万元 商贷 业主自还
                              ",已上传房本照片,
895,沈阳,https://sy.lianjia.com/ershoufang/102106054561.html,3室1厅1厨1卫,高楼层 (共6层),123.01㎡,平层,123㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,2022-09-28,商品房,2015-09-08,普通住宅,满五年,非共有,"
                                有抵押 60万元
                              ",已上传房本照片,
896,沈阳,https://sy.lianjia.com/ershoufang/102105531080.html,2室1厅1厨1卫,中楼层 (共32层),78.45㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯六户,集中供暖,有,2022-05-09,商品房,2013-05-14,普通住宅,满五年,共有,"
                                有抵押 2万元 浦发银行 业主自还
                              ",已上传房本照片,
897,沈阳,https://sy.lianjia.com/ershoufang/102104241854.html,2室2厅1厨1卫,中楼层 (共27层),87.76㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯四户,集中供暖,有,2021-04-26,商品房,2019-03-19,普通住宅,暂无数据,非共有,"
                                有抵押 67万元 工商银行 业主自还
                              ",未上传房本照片,
898,沈阳,https://sy.lianjia.com/ershoufang/102102644804.html,2室1厅1厨1卫,中楼层 (共30层),97.48㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2020-04-21,商品房,2017-05-23,普通住宅,满五年,非共有,"
                                有抵押 16万元 建设银行 客户偿还
                              ",已上传房本照片,
899,沈阳,https://sy.lianjia.com/ershoufang/102105653466.html,2室1厅1厨1卫,中楼层 (共27层),86.21㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-06-10,商品房,2017-10-20,普通住宅,满五年,非共有,"
                                有抵押 20万元
                              ",已上传房本照片,
900,沈阳,https://sy.lianjia.com/ershoufang/102106192101.html,2室2厅1厨1卫,中楼层 (共34层),86㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,2022-11-10,商品房,2020-09-10,普通住宅,暂无数据,非共有,"
                                有抵押 30万元 工商银行 客户偿还
                              ",已上传房本照片,
901,沈阳,https://sy.lianjia.com/ershoufang/102105872421.html,2室2厅1厨1卫,高楼层 (共30层),94.3㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-08-06,商品房,2018-05-24,普通住宅,暂无数据,非共有,"
                                有抵押 42万元 工商银行 客户偿还
                              ",已上传房本照片,
902,沈阳,https://sy.lianjia.com/ershoufang/102105384204.html,2室1厅1厨1卫,中楼层 (共31层),81.97㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-03-05,商品房,2020-08-25,普通住宅,暂无数据,非共有,"
                                有抵押 40万元
                              ",已上传房本照片,
903,沈阳,https://sy.lianjia.com/ershoufang/102105503670.html,2室1厅1厨1卫,中楼层 (共31层),77.26㎡,平层,暂无数据,板塔结合,西北,钢混结构,精装,一梯三户,集中供暖,有,2022-04-30,商品房,2017-03-17,普通住宅,满五年,非共有,"
                                有抵押 21万元 公积金 客户偿还
                              ",已上传房本照片,
904,沈阳,https://sy.lianjia.com/ershoufang/102106063366.html,2室1厅1厨1卫,中楼层 (共18层),80.83㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,2022-09-30,商品房,2013-12-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
905,沈阳,https://sy.lianjia.com/ershoufang/102103500603.html,2室2厅1厨1卫,中楼层 (共30层),93.43㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,2020-10-11,商品房,2018-10-24,普通住宅,暂无数据,非共有,"
                                有抵押 45万元
                              ",已上传房本照片,
906,沈阳,https://sy.lianjia.com/ershoufang/102105590703.html,2室1厅1厨1卫,低楼层 (共18层),62.56㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯三户,集中供暖,有,2022-05-24,商品房,2019-10-21,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
907,沈阳,https://sy.lianjia.com/ershoufang/102105543219.html,2室1厅1厨1卫,中楼层 (共26层),78.3㎡,平层,暂无数据,塔楼,东 南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-05-12,商品房,2017-09-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
908,沈阳,https://sy.lianjia.com/ershoufang/102105797375.html,2室1厅1厨1卫,中楼层 (共6层),84.35㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,2022-07-17,商品房,2009-08-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
909,沈阳,https://sy.lianjia.com/ershoufang/102105510683.html,2室2厅1厨1卫,低楼层 (共18层),83.14㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯五户,集中供暖,有,2022-05-03,商品房,2014-10-28,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
910,沈阳,https://sy.lianjia.com/ershoufang/102105422190.html,3室2厅1厨2卫,高楼层 (共30层),109.01㎡,平层,72.46㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-03-16,商品房,2019-03-18,普通住宅,暂无数据,非共有,"
                                有抵押 49万元 客户偿还
                              ",已上传房本照片,
911,沈阳,https://sy.lianjia.com/ershoufang/102104513725.html,2室2厅1厨1卫,低楼层 (共24层),96.89㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯四户,集中供暖,有,2021-06-23,商品房,2009-09-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
912,沈阳,https://sy.lianjia.com/ershoufang/102104873988.html,2室1厅1厨1卫,中楼层 (共34层),84.99㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2021-09-13,商品房,2019-09-04,普通住宅,暂无数据,非共有,"
                                有抵押 75万元 建设银行 业主自还
                              ",已上传房本照片,
913,沈阳,https://sy.lianjia.com/ershoufang/102105160497.html,2室1厅1厨1卫,中楼层 (共34层),82.28㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2021-12-10,商品房,2020-09-13,普通住宅,暂无数据,非共有,"
                                有抵押 40万元 客户偿还
                              ",已上传房本照片,
914,沈阳,https://sy.lianjia.com/ershoufang/102105520361.html,2室1厅1厨1卫,高楼层 (共18层),74㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯五户,集中供暖,有,2022-05-06,商品房,2019-01-14,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
915,沈阳,https://sy.lianjia.com/ershoufang/102104057478.html,2室2厅1厨1卫,中楼层 (共32层),78.86㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2021-03-20,商品房,2020-06-05,普通住宅,暂无数据,非共有,"
                                有抵押 22万元 建设银行 客户偿还
                              ",已上传房本照片,
916,沈阳,https://sy.lianjia.com/ershoufang/102105531080.html,2室1厅1厨1卫,中楼层 (共32层),78.45㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯六户,集中供暖,有,2022-05-09,商品房,2013-05-14,普通住宅,满五年,共有,"
                                有抵押 2万元 浦发银行 业主自还
                              ",已上传房本照片,
917,沈阳,https://sy.lianjia.com/ershoufang/102106068012.html,2室1厅1厨1卫,低楼层 (共22层),88.72㎡,平层,68.1㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-10-02,商品房,2018-01-04,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
918,沈阳,https://sy.lianjia.com/ershoufang/102105222047.html,3室2厅1厨1卫,中楼层 (共31层),95㎡,平层,71.9㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,2022-01-06,商品房,2020-12-01,普通住宅,暂无数据,共有,"
                                有抵押 50万元
                              ",已上传房本照片,
919,沈阳,https://sy.lianjia.com/ershoufang/102105556461.html,2室1厅1厨1卫,高楼层 (共33层),73.45㎡,平层,暂无数据,塔楼,东,钢混结构,精装,三梯十户,集中供暖,有,2022-05-16,商品房,2016-10-08,普通住宅,满五年,非共有,"
                                有抵押 28万元 中信银行 客户偿还
                              ",已上传房本照片,
920,沈阳,https://sy.lianjia.com/ershoufang/102105726932.html,2室2厅1厨1卫,低楼层 (共32层),82.17㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2022-06-29,商品房,2013-05-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
921,沈阳,https://sy.lianjia.com/ershoufang/102105374891.html,2室1厅1厨1卫,中楼层 (共8层),75.31㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,无,2022-03-03,商品房,2017-12-29,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
922,沈阳,https://sy.lianjia.com/ershoufang/102105809272.html,2室1厅1厨1卫,中楼层 (共34层),70.54㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,三梯九户,集中供暖,有,2022-07-20,商品房,2016-04-21,普通住宅,满五年,非共有,"
                                有抵押 20万元 建设银行 业主自还
                              ",已上传房本照片,
923,沈阳,https://sy.lianjia.com/ershoufang/102105784394.html,2室1厅1厨1卫,中楼层 (共26层),59.51㎡,平层,暂无数据,板楼,东南,钢混结构,精装,一梯三户,集中供暖,有,2022-07-13,商品房,2020-06-19,普通住宅,暂无数据,非共有,"
                                有抵押 30万元
                              ",已上传房本照片,
924,沈阳,https://sy.lianjia.com/ershoufang/102105597013.html,2室2厅1厨1卫,中楼层 (共17层),82.44㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,2022-05-26,商品房,2011-06-07,普通住宅,满五年,共有,"
                                有抵押 10万元
                              ",已上传房本照片,
925,沈阳,https://sy.lianjia.com/ershoufang/102104167757.html,2室1厅1厨1卫,中楼层 (共6层),80.35㎡,平层,暂无数据,板楼,东 南 北,砖混结构,简装,一梯两户,集中供暖,暂无数据,2021-04-10,商品房,2008-06-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
926,沈阳,https://sy.lianjia.com/ershoufang/102106207291.html,1室0厅1厨1卫,低楼层 (共18层),36.48㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯八户,集中供暖,有,2022-11-16,商品房,2018-03-16,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
927,沈阳,https://sy.lianjia.com/ershoufang/102106113398.html,3室2厅1厨2卫,低楼层 (共18层),119.65㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,2022-10-16,商品房,2020-12-15,普通住宅,暂无数据,共有,"
                                有抵押 50万元 业主自还
                              ",已上传房本照片,
928,沈阳,https://sy.lianjia.com/ershoufang/102105601013.html,2室2厅1厨1卫,低楼层 (共33层),82.02㎡,平层,60.84㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,2022-05-27,商品房,2019-01-14,普通住宅,暂无数据,非共有,"
                                有抵押 55万元
                              ",已上传房本照片,
929,沈阳,https://sy.lianjia.com/ershoufang/102105932462.html,2室1厅1厨1卫,中楼层 (共7层),89.92㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,2022-08-22,商品房,2018-07-17,普通住宅,暂无数据,非共有,"
                                有抵押 40万元 兴业 客户偿还
                              ",已上传房本照片,
930,沈阳,https://sy.lianjia.com/ershoufang/102105817193.html,2室1厅1厨1卫,低楼层 (共7层),74.41㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,无,2022-07-22,商品房,2006-07-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
931,沈阳,https://sy.lianjia.com/ershoufang/102104057478.html,2室2厅1厨1卫,中楼层 (共32层),78.86㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2021-03-20,商品房,2020-06-05,普通住宅,暂无数据,非共有,"
                                有抵押 22万元 建设银行 客户偿还
                              ",已上传房本照片,
932,沈阳,https://sy.lianjia.com/ershoufang/102105961509.html,2室1厅1厨1卫,中楼层 (共29层),88.37㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-08-30,商品房,2019-03-15,普通住宅,暂无数据,共有,"
                                有抵押 12万元 业主自还
                              ",已上传房本照片,
933,沈阳,https://sy.lianjia.com/ershoufang/102105520361.html,2室1厅1厨1卫,高楼层 (共18层),74㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯五户,集中供暖,有,2022-05-06,商品房,2019-01-14,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
