城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
南宁,https://nn.lianjia.com/ershoufang/105112099006.html,4室2厅1厨2卫,中楼层 (共31层),112.98㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2022-11-22,商品房,2019-01-24,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105112096174.html,4室2厅1厨2卫,中楼层 (共33层),138.85㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯三户,有,2022-11-21,商品房,2019-02-25,普通住宅,暂无数据,共有,"
                                有抵押 55万元
                              ",已上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105112099225.html,2室1厅1厨1卫,低楼层 (共23层),46.54㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,2022-11-22,商品房,2018-06-22,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105112132722.html,4室2厅1厨2卫,高楼层 (共31层),96㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2022-11-26,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 23万元 业主自还
                              ",未上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105112155629.html,2室2厅1厨1卫,高楼层 (共31层),76.69㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2022-11-29,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105112045582.html,5室2厅1厨2卫,高楼层 (共30层),143.53㎡,平层,暂无数据,塔楼,东南 南 北,钢混结构,其他,两梯四户,有,2022-11-15,商品房,2020-07-15,普通住宅,暂无数据,共有,"
                                有抵押 70万元
                              ",已上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105111918775.html,4室2厅1厨2卫,中楼层 (共32层),136.52㎡,平层,暂无数据,塔楼,北,钢混结构,精装,两梯五户,有,2022-11-01,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105111851658.html,5室2厅1厨2卫,高楼层 (共32层),134.53㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯四户,有,2022-10-24,商品房,2019-09-11,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105107760197.html,4室2厅1厨2卫,高楼层 (共30层),123.17㎡,平层,95.5㎡,板塔结合,东南 南,钢混结构,精装,一梯四户,暂无数据,2021-06-27,商品房,2018-03-01,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片
南宁,https://nn.lianjia.com/ershoufang/105106416055.html,4室2厅1厨2卫,高楼层 (共24层),126.16㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯四户,有,2021-02-19,商品房,2018-06-25,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",已上传房本照片
