城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型
南昌,https://nc.lianjia.com/ershoufang/103123154409.html,3室2厅1厨2卫,中楼层 (共31层),94.03㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯四户,有,2022-11-04,商品房,2017-11-06,普通住宅,暂无数据,共有,"
                                有抵押 20万元 光大银行 客户偿还
                              ",已上传房本照片,
南昌,https://nc.lianjia.com/ershoufang/103123105620.html,3室2厅1厨2卫,高楼层 (共33层),90.62㎡,平层,69.3㎡,塔楼,东南 南,钢混结构,毛坯,两梯四户,有,2022-11-01,商品房,2018-10-28,普通住宅,满两年,共有,"
                                有抵押 60万元 60 客户偿还
                              ",已上传房本照片,
南昌,https://nc.lianjia.com/ershoufang/103123227104.html,3室2厅1厨1卫,中楼层 (共6层),94.63㎡,平层,暂无数据,板楼,北 南,钢混结构,精装,一梯两户,无,2022-11-09,商品房,2010-01-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
南昌,https://nc.lianjia.com/ershoufang/103112697053.html,5室2厅1厨3卫,高楼层 (共6层),121.36㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,无,2020-12-18,商品房,2011-04-02,普通住宅,暂无数据,非共有,"
                                有抵押 20万元 交行 业主自还
                              ",已上传房本照片,
南昌,https://nc.lianjia.com/ershoufang/103112161251.html,3室2厅1厨2卫,低楼层 (共32层),135.3㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,2020-11-11,商品房,2016-11-30,普通住宅,满五年,共有,"
                                有抵押 70万元 客户偿还
                              ",已上传房本照片,
南昌,https://nc.lianjia.com/ershoufang/103110156706.html,3室2厅1厨1卫,中楼层 (共18层),100㎡,平层,79.43㎡,板楼,南,钢混结构,简装,两梯三户,有,2020-07-09,商品房,2012-06-27,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片,
南昌,https://nc.lianjia.com/ershoufang/103122263712.html,6室2厅1厨3卫,高楼层 (共12层),240.81㎡,复式,暂无数据,板塔结合,南,钢混结构,简装,一梯两户,有,2022-09-05,商品房,2005-11-29,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
南昌,https://nc.lianjia.com/ershoufang/103123155032.html,2室1厅1厨1卫,中楼层 (共6层),86.78㎡,平层,暂无数据,平房,南,砖混结构,毛坯,一梯两户,无,2022-11-04,商品房,2014-11-06,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
南昌,https://nc.lianjia.com/ershoufang/103123187202.html,2室2厅1厨1卫,低楼层 (共6层),90.84㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2022-11-06,商品房,2009-09-22,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片,
南昌,https://nc.lianjia.com/ershoufang/103123423658.html,2室1厅1厨1卫,中楼层 (共7层),66.62㎡,平层,暂无数据,板楼,南 北,框架结构,精装,一梯三户,无,2022-11-22,商品房,2018-11-22,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
