城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型
沈阳,https://sy.lianjia.com/ershoufang/102106174822.html,2室2厅1厨1卫,高楼层 (共32层),86.45㎡,平层,暂无数据,板楼,东南,钢混结构,精装,两梯四户,集中供暖,有,2022-11-04,商品房,2017-08-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
沈阳,https://sy.lianjia.com/ershoufang/102106187006.html,2室1厅1厨1卫,中楼层 (共33层),83.34㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-11-09,商品房,2020-02-27,普通住宅,暂无数据,非共有,"
                                有抵押 42万元 建设 客户偿还
                              ",已上传房本照片,
沈阳,https://sy.lianjia.com/ershoufang/102106197967.html,2室2厅1厨1卫,高楼层 (共29层),88.94㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-11-12,商品房,2019-11-12,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
沈阳,https://sy.lianjia.com/ershoufang/102106191835.html,3室2厅1厨1卫,低楼层 (共32层),116.01㎡,平层,87.04㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-11-10,商品房,2018-01-16,普通住宅,暂无数据,非共有,"
                                有抵押 60万元 金融公司 金融公司垫资
                              ",已上传房本照片,
沈阳,https://sy.lianjia.com/ershoufang/102106185534.html,3室2厅1厨2卫,高楼层 (共33层),107.04㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,暂无数据,2022-11-08,商品房,2019-03-15,普通住宅,暂无数据,非共有,"
                                有抵押 30万元
                              ",已上传房本照片,
沈阳,https://sy.lianjia.com/ershoufang/102106188682.html,3室2厅1厨2卫,高楼层 (共27层),100.78㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-11-09,商品房,2020-04-23,普通住宅,暂无数据,非共有,"
                                有抵押 40万元 中国银行 客户偿还
                              ",已上传房本照片,
沈阳,https://sy.lianjia.com/ershoufang/102106175176.html,3室1厅1厨1卫,中楼层 (共5层),88.27㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,2022-11-05,商品房,2019-08-05,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片,
沈阳,https://sy.lianjia.com/ershoufang/102106191651.html,4室2厅1厨2卫,低楼层 (共32层),74.17㎡,跃层,暂无数据,板楼,东南,钢混结构,精装,四梯十户,集中供暖,有,2022-11-10,商品房,2019-03-18,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片,
沈阳,https://sy.lianjia.com/ershoufang/102106196167.html,2室1厅1厨1卫,高楼层 (共23层),90.48㎡,平层,68.1㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2022-11-11,商品房,2018-03-20,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
沈阳,https://sy.lianjia.com/ershoufang/102106181473.html,2室1厅1厨1卫,中楼层 (共17层),78.95㎡,平层,59.23㎡,板楼,南 西南,钢混结构,精装,两梯六户,集中供暖,有,2022-11-07,商品房,2019-03-26,普通住宅,暂无数据,非共有,"
                                有抵押 11万元 客户偿还
                              ",已上传房本照片,
沈阳,https://sy.lianjia.com/ershoufang/102106208586.html,2室1厅1厨1卫,低楼层 (共27层),64.63㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯六户,集中供暖,有,2022-11-16,商品房,2020-08-31,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片,
