城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
北京,https://bj.lianjia.com/ershoufang/101117139599.html,3室2厅1厨2卫,高楼层 (共7层),102.24㎡,复式,102.24㎡,板楼,南 北,砖混结构,精装,一梯两户,集中供暖,无,2022-11-07,已购公房,2015-01-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117184422.html,2室2厅1厨1卫,高楼层 (共13层),87.65㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,2022-11-09,商品房,2014-07-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117131319.html,4室1厅1厨3卫,高楼层 (共24层),230.5㎡,复式,180.73㎡,塔楼,南 西 北,钢混结构,简装,两梯五户,集中供暖,有,2022-11-07,商品房,2004-04-14,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117174921.html,3室2厅1厨2卫,低楼层 (共6层),130.32㎡,错层,115.55㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,2022-11-10,商品房,2007-06-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117177764.html,3室1厅1厨1卫,低楼层 (共6层),100.22㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2022-11-10,商品房,2005-09-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117182003.html,3室2厅1厨2卫,中楼层 (共23层),150.74㎡,平层,127.31㎡,塔楼,西北,钢混结构,简装,两梯八户,集中供暖,有,2022-11-14,商品房,2017-04-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117136308.html,3室2厅1厨2卫,高楼层 (共27层),126.15㎡,平层,97.57㎡,板楼,东南 北,钢混结构,简装,两梯五户,集中供暖,有,2022-11-04,商品房,2013-09-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117120932.html,2室1厅1厨2卫,低楼层 (共17层),109.42㎡,平层,96.32㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,2022-11-03,一类经济适用房,2007-08-22,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117163143.html,3室2厅1厨2卫,中楼层 (共9层),125.34㎡,错层,110.7㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-11-07,商品房,2006-11-15,普通住宅,满五年,非共有,"
                                有抵押 550万元 平安银行 客户偿还
                              ",已上传房本照片
北京,https://bj.lianjia.com/ershoufang/101117151199.html,3室2厅1厨2卫,高楼层 (共11层),143.37㎡,错层,123.67㎡,板塔结合,南 北,钢混结构,简装,一梯两户,集中供暖,有,2022-11-07,商品房,2017-03-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
