城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
济南,https://jn.lianjia.com/ershoufang/103123146044.html,3室2厅1厨1卫,低楼层 (共18层),115.82㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,暂无数据,2022-11-03,商品房,2020-09-01,普通住宅,满两年,共有,"
                                有抵押 60万元 客户偿还
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123224616.html,2室2厅1厨1卫,高楼层 (共29层),91.75㎡,平层,70.74㎡,板楼,南,钢混结构,其他,两梯四户,集中供暖,有,2022-11-08,商品房,2018-11-29,普通住宅,满两年,非共有,"
                                有抵押 47万元 客户偿还
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123203712.html,2室2厅1厨1卫,中楼层 (共6层),87.54㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,集中供暖,无,2022-11-07,已购公房,2003-06-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123149250.html,3室2厅1厨1卫,低楼层 (共25层),92.82㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-11-03,商品房,2019-02-27,普通住宅,满两年,非共有,"
                                有抵押 70万元 协商，业主说贷款很少也可以自还 客户偿还
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123175673.html,3室2厅1厨1卫,高楼层 (共28层),109.64㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,2022-11-05,商品房,2019-10-08,普通住宅,满两年,非共有,"
                                有抵押 30万元 35
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123158844.html,3室2厅1厨1卫,高楼层 (共18层),93.05㎡,平层,暂无数据,板楼,南 西 北,钢混结构,精装,两梯两户,集中供暖,有,2022-11-04,商品房,2019-05-14,普通住宅,满两年,非共有,"
                                有抵押 110万元 工商银行带押过户 客户偿还
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123274298.html,2室1厅1厨1卫,低楼层 (共6层),56.01㎡,平层,47.66㎡,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,无,2022-11-12,商品房,2013-11-14,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123205433.html,3室1厅1厨1卫,低楼层 (共31层),95.46㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2022-11-07,商品房,2019-07-04,普通住宅,满两年,共有,"
                                有抵押 50万元
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123249978.html,2室2厅1厨1卫,高楼层 (共24层),115.86㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,2022-11-10,商品房,2012-09-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123185452.html,4室2厅1厨2卫,高楼层 (共26层),193.03㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯两户,集中供暖,有,2022-11-06,商品房,2017-05-26,普通住宅,满五年,非共有,"
                                有抵押 40万元
                              ",已上传房本照片
济南,https://jn.lianjia.com/ershoufang/103123300893.html,2室1厅1厨1卫,低楼层 (共18层),57.43㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯七户,集中供暖,有,2022-11-14,商品房,2018-04-24,普通住宅,满两年,非共有,"
                                有抵押 40万元 平安银行 客户偿还
                              ",已上传房本照片
