城市,链接,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型
南宁,https://nn.lianjia.com/ershoufang/105102800942.html,3室2厅1厨2卫,高楼层 (共6层),157.95㎡,复式,143.65㎡,板楼,南,钢混结构,简装,一梯两户,无,2019-08-05,商品房,2013-01-08,普通住宅,满五年,非共有,"
                                有抵押 10万元
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105108570907.html,5室2厅1厨2卫,低楼层 (共3层),175.79㎡,,168.74㎡,,南,未知结构,毛坯,,,2021-08-30,商品房,2019-03-18,别墅,暂无数据,非共有,"
                                有抵押 134万元 工商银行 客户偿还
                              ",已上传房本照片,暂无数据
南宁,https://nn.lianjia.com/ershoufang/105111414802.html,5室2厅1厨2卫,高楼层 (共33层),130.42㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯四户,有,2022-09-03,商品房,2019-07-10,普通住宅,暂无数据,非共有,"
                                有抵押 100万元 客户偿还
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105111135204.html,4室2厅1厨2卫,中楼层 (共8层),154.67㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,一梯两户,暂无数据,2022-08-01,商品房,2020-11-11,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105109886587.html,4室2厅1厨2卫,中楼层 (共11层),123.33㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯四户,有,2022-02-25,商品房,2019-01-18,普通住宅,暂无数据,非共有,"
                                有抵押 30万元 民生银行 业主自还
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105112010425.html,4室2厅1厨2卫,高楼层 (共26层),117㎡,平层,暂无数据,塔楼,南 北,未知结构,精装,两梯五户,有,2022-11-11,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 50万元
                              ",未上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105112038477.html,5室2厅1厨3卫,中楼层 (共11层),195㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,2022-11-15,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 260万元 260 金融公司垫资
                              ",未上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105111950373.html,3室2厅1厨1卫,高楼层 (共32层),95.82㎡,平层,85㎡,塔楼,南,钢混结构,精装,两梯五户,有,2022-11-04,商品房,2012-11-04,普通住宅,暂无数据,非共有,"
                                有抵押 35万元 中国工商银行琅东支行
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105111843725.html,3室2厅1厨2卫,中楼层 (共6层),148.6㎡,平层,118.72㎡,板塔结合,东南,钢混结构,简装,一梯两户,无,2022-10-23,商品房,2015-09-08,普通住宅,暂无数据,非共有,"
                                有抵押 65万元
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105111904781.html,3室2厅1厨2卫,中楼层 (共8层),143㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,无,2022-10-30,商品房,2017-12-06,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,
南宁,https://nn.lianjia.com/ershoufang/105111851822.html,3室2厅1厨2卫,中楼层 (共32层),100.71㎡,平层,暂无数据,塔楼,南,钢混结构,其他,两梯五户,有,2022-10-24,商品房,2020-04-21,普通住宅,满两年,非共有,"
                                有抵押 76万元 金融公司垫资
                              ",已上传房本照片,
